1.187000000000000055e+00,6.250000000000000000e+01,9.300000000000000711e+00,9.412159584056138673e-02,6.776981814745106636e-01
1.010000000000000009e+00,2.030000000000000071e+01,1.282000000000000028e+01,1.075491297446863476e-01,5.856862784524968779e-01
1.278000000000000025e+00,5.900000000000000355e+00,2.040000000000000036e+00,6.892761168207181544e-02,4.063698354692675263e-01
1.006999999999999895e+00,4.299999999999999822e+00,9.539999999999999147e+00,3.302144468291065560e-02,1.673173347481760609e-01
1.137999999999999901e+00,4.799999999999999822e+00,1.323000000000000043e+01,7.188200730612535894e-02,4.358443659844412621e-01
1.576000000000000068e+00,3.410000000000000142e+01,5.446999999999999886e+01,2.237554536572411712e-01,1.023128946010495754e+00
0.000000000000000000e+00,8.400000000000000355e+00,1.142999999999999972e+01,6.669855042299525916e-02,4.477780092946210821e-01
1.129999999999999893e+00,1.169999999999999929e+01,3.150000000000000000e+01,8.026562733984476949e-02,6.935510855959134968e-01
1.034999999999999920e+00,3.100000000000000089e+00,9.269999999999999574e+00,2.897770520877799780e-02,4.879863311293934358e-01
1.032000000000000028e+00,1.390000000000000036e+01,9.609999999999999432e+00,6.557971472844842387e-02,3.388547462523230358e-01
1.000999999999999890e+00,2.399999999999999911e+00,6.419999999999999929e+00,1.367969729119255899e-02,5.358002908248976626e-01
1.360000000000000098e+00,2.000000000000000000e+00,9.429999999999999716e+00,1.082266563749284816e-01,6.042260530844699717e-01
0.000000000000000000e+00,1.300000000000000000e+01,2.157000000000000028e+01,1.373541113707328343e-01,7.133225049870276502e-01
1.072000000000000064e+00,6.999999999999999556e-01,8.949999999999999289e+00,3.862016194970278177e-02,3.673559210260189944e-01
1.137999999999999901e+00,2.000000000000000000e+00,1.910999999999999943e+01,8.707120590653541492e-02,5.619357633137812558e-01
1.030999999999999917e+00,2.569999999999999929e+01,5.490000000000000213e+00,4.296907339318013080e-02,4.471580313422192088e-01
1.550999999999999934e+00,3.550000000000000000e+01,1.903000000000000114e+01,1.038037209559568713e-01,6.953941082911099247e-01
1.094999999999999973e+00,8.099999999999999645e+00,1.561999999999999922e+01,4.571405894086760791e-02,2.669369111591730070e-01
1.481000000000000094e+00,5.599999999999999645e+00,2.194000000000000128e+01,1.322596895310444998e-01,8.188195075475364071e-01
0.000000000000000000e+00,1.100000000000000089e+00,6.610000000000000320e+00,2.410481506716443956e-01,1.253943462669258713e+00
1.167999999999999927e+00,1.699999999999999956e+00,5.889999999999999680e+00,5.192391604610654271e-02,4.315245841874508770e-01
1.131000000000000005e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.221999999999999975e+00,2.250000000000000000e+01,1.124000000000000021e+01,4.257551244019058823e-02,7.876021461823374814e-01
1.034000000000000030e+00,2.200000000000000178e+00,5.370000000000000107e+00,2.816441942446987201e-02,1.139433523068367760e-01
1.348999999999999977e+00,3.139999999999999858e+01,1.733999999999999986e+01,1.367205671564067915e-01,7.607993116307177894e-01
1.002000000000000002e+00,1.899999999999999911e+00,5.620000000000000107e+00,2.489596010748497748e-02,8.242630086077190610e-02
1.086999999999999966e+00,1.159999999999999964e+01,1.500000000000000000e+01,5.346260492545529264e-02,3.094172257781399593e-01
1.336999999999999966e+00,3.189999999999999858e+01,3.978000000000000114e+01,2.926990030439297064e-01,1.066064897459677363e+00
1.247999999999999998e+00,5.239999999999999858e+01,1.935999999999999943e+01,7.481644064517471715e-02,4.858633295973346367e-01
1.423999999999999932e+00,1.710000000000000142e+01,3.439000000000000057e+01,7.954300740290606853e-02,8.992184178513727977e-01
1.318999999999999950e+00,4.289999999999999858e+01,2.173000000000000043e+01,1.556396337597763802e-01,7.020857214358249276e-01
1.296000000000000041e+00,1.480000000000000071e+01,2.416000000000000014e+01,1.501421618485586085e-01,7.463227650899529886e-01
1.340999999999999970e+00,3.539999999999999858e+01,1.601000000000000156e+01,8.884456272700426427e-02,4.898179083014506663e-01
1.129000000000000004e+00,3.899999999999999911e+00,2.598999999999999844e+01,3.702787975577494228e-02,2.681097298084783032e-01
0.000000000000000000e+00,3.600000000000000089e+00,4.892999999999999972e+01,2.794387882870204565e-01,1.087142279383807697e+00
1.157000000000000028e+00,2.830000000000000071e+01,1.190000000000000036e+01,7.773117965239201288e-02,4.274861090957855492e-01
1.241000000000000103e+00,1.055999999999999943e+02,2.442999999999999972e+01,1.102529173534030071e-01,5.286596452349898723e-01
1.147000000000000020e+00,1.000000000000000000e+01,3.459999999999999964e+00,8.955188288645411776e-02,7.245216271185627166e-01
1.106000000000000094e+00,5.099999999999999645e+00,4.059999999999999609e+00,4.688519083771013063e-02,3.051363189436392953e-01
1.133000000000000007e+00,4.799999999999999822e+00,7.339999999999999858e+00,5.537833137500011021e-02,5.794405971397971200e-01
1.409000000000000030e+00,2.450000000000000000e+01,2.600000000000000000e+01,1.448854182871422425e-01,7.614767795447017207e-01
1.302999999999999936e+00,6.999999999999999556e-01,1.280000000000000071e+01,7.481644064517471715e-02,5.456781497920255575e-01
1.112000000000000099e+00,0.000000000000000000e+00,5.549999999999999822e+00,5.690485133647263383e-02,3.447851226326605900e-01
1.272000000000000020e+00,5.120000000000000284e+01,8.250000000000000000e+00,6.966809691159564499e-02,4.885507165004442376e-01
1.139999999999999902e+00,9.400000000000000355e+00,3.518999999999999773e+01,1.392492175716070479e-01,7.317498835272634450e-01
1.028000000000000025e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.110999999999999988e+00,1.040000000000000036e+01,5.040000000000000036e+00,4.218159451576627278e-02,5.536403362313542242e-01
