,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0005795001983642578,0.00017853986717885755,0.0,0.0,0.07958745081631101,squared_error,squared_error,13,9,5,409,"{'ccp_alpha': 0.07958745081631101, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 13, 'max_features': 9, 'min_samples_split': 5, 'n_estimators': 409}",,,,,,,,500,,,,,,,
1,0.3958732128143311,0.03381997523196781,0.0003647327423095703,3.5557283603350655e-05,0.05510484910954993,squared_error,huber,46,5,8,522,"{'ccp_alpha': 0.05510484910954993, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 46, 'max_features': 5, 'min_samples_split': 8, 'n_estimators': 522}",-1.1389866340200754,-1.306950228156059,-1.113925090401538,-1.2534579557435228,-1.013787011674152,-1.1654213839990695,0.10404277853271361,159,-0.8366511448839374,-0.8165942037356416,-0.7643958992994894,-0.7925724385565971,-0.8504646460922882,-0.8121356665135908,0.03082791971958356
2,0.09807443618774414,0.001649149173890449,0.00028285980224609377,3.974088008120467e-06,0.3314912182053814,friedman_mse,absolute_error,48,5,9,224,"{'ccp_alpha': 0.3314912182053814, 'criterion': 'friedman_mse', 'loss': 'absolute_error', 'max_depth': 48, 'max_features': 5, 'min_samples_split': 9, 'n_estimators': 224}",-1.2539626903611685,-1.2216810587040765,-1.0119938426268313,-1.2886088543731116,-1.1360698739124377,-1.182463263995525,0.09912543570063467,233,-1.1196517532116452,-1.1285386583432964,-1.1805349773828955,-1.1124453385818294,-1.21947457599238,-1.1521290607024093,0.04129986663123328
3,0.483476448059082,0.01664083652210902,0.0003957271575927734,1.4072271632203826e-05,0.08394328467388229,squared_error,absolute_error,23,6,3,966,"{'ccp_alpha': 0.08394328467388229, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 23, 'max_features': 6, 'min_samples_split': 3, 'n_estimators': 966}",-1.2932788356929679,-1.305994667916864,-1.0820293684003157,-1.215258632074113,-0.9610483003084909,-1.1715219608785503,0.1320065360596138,195,-0.7482686162453102,-0.7492256964621182,-0.6783146675431285,-0.8804023720975844,-0.7381348270444515,-0.7588692358785186,0.0661734514404756
4,0.3973873138427734,0.018652217078119145,0.0003471851348876953,1.1210643396544736e-05,0.002042558668422495,squared_error,absolute_error,25,auto,4,149,"{'ccp_alpha': 0.002042558668422495, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 25, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 149}",-1.167957901153154,-1.2647336108224305,-1.1216933515953114,-1.091005585093484,-0.8076248794511361,-1.0906030656231034,0.15319832838789746,16,-0.12288395064778873,-0.09396213859229376,-0.05424584656064146,-0.37794562817586996,-0.08798005833592484,-0.14740352446250377,0.11731696730390898
5,0.1934969425201416,0.0007138685284656518,0.0003112316131591797,3.557473650664232e-06,0.1605239558950146,squared_error,absolute_error,29,1,8,473,"{'ccp_alpha': 0.1605239558950146, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 29, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 473}",-1.34783255070922,-1.2759722982318555,-1.0263581520840073,-1.2886088543732925,-1.1360698739132118,-1.2149683458623175,0.11712905506410873,305,-1.0764458111023187,-1.0050476543134756,-1.1343320655957754,-1.1124453385818207,-1.2194745759926189,-1.1095490891172017,0.07031724360391894
6,0.0004551410675048828,1.2342623811287674e-06,0.0,0.0,0.1021431886392073,squared_error,absolute_error,42,8,6,201,"{'ccp_alpha': 0.1021431886392073, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 42, 'max_features': 8, 'min_samples_split': 6, 'n_estimators': 201}",,,,,,,,383,,,,,,,
7,0.13437285423278808,0.000978748668017997,0.00027956962585449217,1.0293499538861704e-06,0.030728035309045377,squared_error,huber,38,log2,2,178,"{'ccp_alpha': 0.030728035309045377, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 38, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 178}",-1.2178347590579621,-1.3441221475433955,-1.1270939574682353,-1.1953573824370247,-1.0899967078772597,-1.1948809908767757,0.08763083930269987,263,-0.6820670682832087,-0.630259583094078,-0.6496521044940382,-0.6664930474508556,-0.6646908837431681,-0.6586325374130697,0.01751194522383999
8,0.2665158748626709,0.004760250757182238,0.0003144264221191406,7.8893136530265e-06,0.0391770816107467,squared_error,huber,50,2,3,385,"{'ccp_alpha': 0.0391770816107467, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 50, 'max_features': 2, 'min_samples_split': 3, 'n_estimators': 385}",-1.2148385401531536,-1.380047489890217,-1.1295852505109005,-1.2519821377773184,-1.0999852415160265,-1.2152877319695232,0.09912823881609614,307,-0.7440216736639816,-0.7301757648616259,-0.6930252552692947,-0.7205770007002416,-0.7516478115824733,-0.7278895012155234,0.02048862909051616
9,0.2650890350341797,0.005147754710060008,0.0003073692321777344,9.604925563185639e-06,0.23289134168073106,friedman_mse,huber,41,6,3,371,"{'ccp_alpha': 0.23289134168073106, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 41, 'max_features': 6, 'min_samples_split': 3, 'n_estimators': 371}",-1.258989761109406,-1.2459192874514757,-1.0410156257530723,-1.3016484947433535,-1.0040721894877527,-1.170329071709012,0.12262357654052597,194,-1.1188574060517307,-1.0468759935439964,-1.1481582137649722,-1.0892580425150595,-1.1929453160794932,-1.1192189943910502,0.049808328786818665
