2.998022926814562973e-07,6.136928532607459630e+00,5.470344352820139200e+00,1.791487653275437756e-08,5.630592378526208641e+00
3.171903671423757821e-06,4.764368334506099423e+00,2.438383135659916637e-07,7.612959847301556948e+00,3.067218232731980798e+00
0.000000000000000000e+00,6.384852644552072006e-10,1.272315586220348364e-13,1.698641227676345114e-13,2.397865968558192229e+00
4.796550421945409148e+00,6.445954534986277906e+00,3.829449395316308551e-08,3.215779196566005847e-07,5.467046366585877060e+00
1.156432620353011309e+00,1.447959461115211344e+00,2.427830884615011690e-08,2.434904716471185004e+00,4.199519742713261117e+00
5.773159728050797444e-15,5.098965693986944200e-11,1.021405182655138811e-14,2.613576022235927177e-11,3.784185645817712551e+00
3.471558011324198449e-07,7.836367107699083025e-10,7.045040104363960619e-10,5.435503587996326775e-09,6.098073733535471774e+00
6.730413975892814982e+00,6.735359783718387838e+00,2.704511067385073852e-08,4.075151059522007735e+00,1.682920417778489203e-06
1.151398531410385173e-09,5.462430507769534773e-11,1.140065819520582049e-11,1.925279935292084468e-10,5.662960162244456974e+00
4.268734401949545010e+00,6.844460905446867471e+00,4.946556464218184824e-08,6.469995425065091510e+00,2.966322815094801335e+00
7.881672958990251042e-08,1.972420004908481740e-10,6.729061752230433761e-12,1.272613125910051833e-10,5.973808680034379925e+00
2.757793993168508679e-13,2.262917406452345727e-09,1.731947918415229057e-14,2.664535259100372147e-15,5.323009979138407566e+00
6.936343525464272100e-08,6.700083236386324081e+00,5.360139785769209020e+00,1.386185834815092211e-06,4.519300457761915801e+00
1.272786320701871127e-10,3.307160761994190655e-09,3.726574604449856650e-12,3.136602089166073199e-12,6.033086368166071800e+00
6.816769371198228918e-14,1.515274571335320940e-09,4.938272013531476524e-13,5.151434834260593819e-14,4.948759024630896342e+00
2.818032473641935284e-10,5.170209645995430314e+00,1.693327700137265530e-10,1.138928728456680373e-09,5.283447762128635539e+00
6.440468573112674100e-08,5.465580251807926615e+00,1.320575203872086135e-09,6.685374473999362739e-10,5.748076462170811141e+00
6.123688221294687902e-10,6.572282969513191020e+00,7.528415665811186213e-10,6.495022295660726191e-10,9.773295686389900602e-07
6.383184808234013019e+00,6.819977917117175714e+00,2.181033321394105329e+00,2.727655541717961984e+00,8.232610706672361051e-04
3.063518327436710477e-10,4.066461928884344442e-08,4.608757819813329769e-12,4.789502128231778249e-13,5.780742856461720258e+00
8.122972415151503889e-07,5.695533108248358012e+00,6.246084172755721475e+00,7.056585293145396953e+00,1.984673039760771492e-06
4.008975373088959687e-10,6.558197110214511127e+00,4.257766574684146475e-09,3.956768682643781413e-09,5.898756364428038214e-07
1.662374682215909567e-10,1.166533536366104480e-10,1.366839974527673898e-11,2.743725246624437563e-10,5.680172400705932212e+00
5.019616709681076076e-09,3.927770742563610605e-08,6.303846333622946176e-11,3.529199155076663753e-11,6.109247108046370833e+00
