,NMF1,NMF2,NMF3,NMF4,NMF5,Class
C16 H14 O8,0.4768779371767897,0.7163045566924311,0.4824074592592286,0.6427569201911079,0.4193280373833154,lignin
C22 H26 O12,2.4256377054600782e-06,0.6756074315287924,0.4621651814478473,0.6049155487474841,0.8490617375968159,lignin
C22 H28 O11,0.1816474684537933,0.637926215875256,0.4641130496150161,0.5822581957161019,0.8660923029640105,lignin
C21 H24 O11,0.1466888092155429,0.6618115684962715,0.4280486731985113,0.530193576551548,0.8470818765808471,lignin
C21 H26 O12,0.1747841415822029,0.6398212361160114,0.4127056368103055,0.48313887046577,0.9161733482244444,lignin
C22 H26 O13,0.0439238549174552,0.6960274906668877,0.4768980250148034,0.3653030824589888,0.7930217162364384,lignin
C19 H26 O11,0.004208739541454,0.7462731817542074,0.4762435651742569,0.3976574968659553,0.7543808019698032,lignin
C21 H24 O13,2.4256377054600782e-06,0.7424089133873044,0.4793291315327859,0.4078582890448242,0.7608215811192195,lignin
C23 H26 O13,0.0136404504503466,0.7702210737786621,0.4798922334727711,0.4037212969258081,0.6679322538015176,lignin
C24 H28 O13,0.0205924492909799,0.7546869607633325,0.4845491000391682,0.4077628271450979,0.6205180850164855,lignin
C23 H28 O13,0.0481713461788737,0.6931218384865481,0.4898796366620329,0.4248701572116309,0.6228777696485905,lignin
C22 H20 O12,0.3083694867337567,0.7571429076380173,0.4879324844035319,0.3941876316252306,0.4907904386796856,lignin
C25 H28 O14,0.232493582255878,0.6966391477224892,0.5041046225745413,0.4269788163096191,0.4748271179461829,lignin
C24 H26 O13,0.2097174534487503,0.7198346389086508,0.4967409053349196,0.4173263215232904,0.535703235572196,lignin
C22 H22 O12,0.1831088871992867,0.7287034252152448,0.4858461674545374,0.4075030840345305,0.6448535632852803,lignin
C18 H16 O10,0.2733952483796968,0.7538958393181574,0.4827485499667659,0.3961980849024062,0.6328663712532144,lignin
C19 H18 O9,0.2771670975886834,0.708307707039567,0.4836155153635591,0.3973830162437473,0.6758568595142239,lignin
C21 H28 O12,0.2163789906957112,0.5878035952645823,0.5101435110515616,0.45551856081162,0.5886874502177405,lignin
C20 H20 O9,0.2991695429588357,0.6120491218294892,0.5000576306477638,0.4358088428787414,0.634253011342797,lignin
C20 H28 O11,0.3247360492023542,0.5049038604284395,0.5180548586494017,0.4660191484975571,0.6218557631800122,lignin
C22 H24 O10,0.3023386657323872,0.5335959907944569,0.5070994673957693,0.4512171547113877,0.6813415538244205,lignin
C22 H30 O11,0.3057870854840611,0.4948427686294319,0.5105343971842199,0.4615973639238638,0.7030903823882182,lignin
C23 H28 O10,0.2982919528306452,0.4896398276627727,0.5090869491758937,0.4561120886452916,0.7441538059270181,lignin
C24 H28 O12,0.1747393077923331,0.6030226414330416,0.4943378783457992,0.4244461328902225,0.7670057525838845,lignin
C23 H26 O11,0.2690203471267451,0.6128816550440579,0.489476023264168,0.4212978374980892,0.7567736686301088,lignin
C23 H28 O11,0.2602030184211272,0.6078371311661361,0.4844682023596986,0.402254494078043,0.7888000036573969,lignin
C22 H28 O12,0.2544533729086289,0.6261069514575336,0.4805414035437161,0.3968252921545719,0.8157366579857565,lignin
C21 H22 O10,0.2432447250666771,0.7163621556034984,0.4771003487588848,0.3743027453107495,0.8198027099836169,lignin
C17 H16 O10,0.3012947898327183,0.703276277474761,0.4233684998277046,0.4866843705635332,0.767389115616362,lignin
C18 H24 O7,0.4834283792980701,0.3595891984609442,0.5238336336437619,0.4384660206532285,0.752399392459185,lignin
C24 H30 O12,0.4689588371707885,0.5283809596797983,0.5038599806736478,0.4169623979250291,0.6203386071128406,lignin
C20 H24 O8,0.4493245927313556,0.5438996085523378,0.4979667000651318,0.3945429251491077,0.6852037206934484,lignin
C21 H24 O9,0.4529348900159508,0.5176840706957948,0.5009134596875011,0.3959254188086585,0.709486402668484,lignin
C22 H28 O9,0.4663195546156211,0.4725426713941154,0.5087522221009597,0.4130348289444021,0.6922822584248801,lignin
C17 H24 O10,0.4329004977402267,0.6104842710789521,0.483129731559704,0.4704144675098057,0.7295495841996915,lignin
C18 H24 O10,0.3227211084796376,0.612087882602976,0.4252133964648111,0.5429918883496739,0.8761104734426531,lignin
C18 H20 O9,0.3375519007473066,0.6387553349284295,0.4224377390140633,0.5350888202829939,0.8786836291228486,lignin
C16 H18 O8,0.3964710146793342,0.6658475089314462,0.4178347644612755,0.5370806857076498,0.926333611521626,lignin
C17 H18 O10,0.3762399047580022,0.6852697492768405,0.4608601594917239,0.4727928274964968,0.8944835836708437,lignin
C21 H26 O10,0.2907203272195406,0.6612872738057826,0.4649149070957367,0.3774665748367743,0.9559418615471762,lignin
C19 H24 O9,0.3217538758185172,0.6176491900163172,0.3718611779911221,0.4358259702571346,1.0,lignin
C20 H22 O9,0.3948463032561554,0.6863148039966093,0.4710978920785183,0.3558730223078128,0.838370266897063,lignin
C19 H22 O8,0.4112510370631673,0.62218030435361,0.4789954385481499,0.3701306354275087,0.84587810633557,lignin
C21 H26 O9,0.4185901531371981,0.58613105784698,0.4819596186147708,0.3745376603611655,0.8245366056023946,lignin
C19 H24 O8,0.3937633543329127,0.6170746469034118,0.4750744067742142,0.3698999247723054,0.9268410753395738,lignin
C20 H26 O8,0.4209303767811663,0.5106934748226082,0.4901446819599606,0.3916706593668924,0.906251331889743,lignin
C20 H26 O9,0.2425385803528214,0.5303189180209239,0.4535742376606777,0.6093134346536521,0.8379698704234425,lignin
C22 H26 O10,0.272266313513325,0.594193459398632,0.471569516799831,0.6504740212190073,0.8267595065404727,lignin
