Sample,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,B.glucosidase_ug_pNP_per_g_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,Lat,Long,Elev.m,Soil.Temperature.C,VolWaterContent.m3.m3,Kmeans,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7
FTA5_TOP,1.195,1218.0,5.0,0.77,1.6,13.3,0.7,33.0,6.53,1.86,0.09,11.6,13.8,108.37,0.192,1.477,7.693,0.0015,0.0201,0.0345,7.34,51.19,14.44,24.08,64.06,21.96,13.98,46.9045,-120.6241,831.0,12.8,0.075,0,1.7055400818245343e-10,8.866610170642583e-10,1.1550602952849798e-09,5.588717189912573e-12,0.9439736774322612,1.791801003105642e-10,1.0
GRSM_TOP,1.349,205.0,10.0,0.31,11.0,31.4,3.4,84.0,6.7,0.71,0.06,8.0,17.34,289.86,0.37,4.765,12.878,0.0024,0.0059,0.0305,6.21,68.2,,133.2,55.0,31.8,13.3,35.689102,-85.502462,,,,0,6.349330552030056e-10,1.0,0.8686872343924468,5.923431355001913e-11,0.011914428759136288,0.004354431063228366,0.009274922015571143
ISCC_TOP,1.14,237.0,10.0,0.68,2.1,9.4,1.9,55.0,20.89,6.57,0.06,28.13,35.19,117.85,0.378,4.392,11.619,0.0059,0.003,0.025,6.84,53.8,,72.6,17.1,43.8,39.2,41.3689584,-91.6066851,231.0,31.4,0.147,0,1.3543081997392879e-09,0.027262699777924043,3.3246934349522944e-10,2.7907564297636144e-11,8.950074066208751e-10,4.3536022901919786e-10,1.0
ISNC_TOP,1.131,,,,,,,,,,,,,,,,,0.0024,0.0024,0.0156,6.95,39.1,,116.9,14.9,50.0,35.2,41.3690394,-91.6065423,231.0,30.4,0.121,0,2.6320011874889867e-09,2.2193838640692076e-09,2.1311335888697403e-09,3.324202120404139e-11,1.0,6.363527655841986e-10,0.47067830431981045
JERC_TOP,1.031,66.0,4.0,0.15,0.2,25.7,0.1,14.0,1.93,0.55,0.08,2.73,5.49,72.87,0.104,1.8,17.308,0.0006,0.0019,0.0029,6.29,5.9,,48.8,75.0,14.1,11.0,31.197778,-84.463889,50.0,27.5,0.04,0,1.274659090775152e-10,1.0,0.2413033745685945,3.9748549528664533e-11,3.2510325059605487e-10,9.831112966112088e-12,4.077834615081214e-12
JORN_TOP,1.034,217.0,2.0,0.11,0.2,2.2,0.8,9.0,4.68,0.97,0.04,6.25,5.37,13.48,0.067,0.3,4.478,0.0018,0.0018,0.0014,8.52,19.7,,9.6,79.0,7.9,13.1,32.59092,-106.84286,,,,0,1.047586543159959e-12,3.318806545085849e-12,1.0,5.451683104061474e-13,2.4031925461454912e-11,1.755330278052432e-13,8.54135674822774e-14
KONA_TOP,1.248,409.0,12.0,0.32,1.4,52.4,3.3,82.0,11.64,2.32,0.17,15.18,19.36,197.28,0.188,2.061,10.963,0.02,0.0031,0.0166,5.04,36.2,,80.9,21.0,42.0,37.1,39.11012,-96.61216,358.0,26.6,0.297,0,3.325832720987873e-11,0.006060054603709338,0.3128367896614588,6.946581665761096e-14,1.0,3.6418550822296665e-11,3.257781704172985e-11
KONZ_TOP,1.409,592.0,11.0,0.46,4.5,24.5,0.9,55.0,15.73,3.42,0.09,20.76,26.0,280.41,0.396,4.774,12.056,0.001,0.0033,0.0056,6.41,50.1,,361.2,18.9,48.0,33.1,39.10091,-96.56277,394.0,30.6,0.362,1,2.5467177239390393e-12,7.143441679272409e-10,1.0,2.3003505866947066e-15,1.3414945815626646e-09,7.81769690969604e-15,4.462131886433031e-13
LENO_TOP,1.341,169.0,7.0,0.38,4.2,35.4,0.8,105.0,9.91,1.86,0.1,12.3,16.01,157.1,0.227,2.089,9.203,0.0009,0.0062,0.0066,5.91,26.3,,90.0,44.8,28.1,27.1,31.854,-88.161,,,,0,2.2416738421812197e-18,1.2707839016983107e-18,1.0,4.56459415573704e-15,3.507198861249554e-12,6.1832434217010484e-18,7.427116259470642e-18
MLBS_TOP,1.548,76.0,18.0,0.66,2.8,2.2,0.4,299.0,0.69,0.37,0.09,1.34,8.55,243.13,0.413,7.272,17.608,0.0011,0.0057,0.0076,3.89,19.3,,31.3,66.8,18.2,15.1,37.3779,-80.52435,601.0,16.2,0.452,0,1.2855552663799447e-12,2.2144952789062966e-12,1.0,5.7652125409474196e-15,0.2196494256744078,1.030452969626184e-12,5.035082396918479e-13
MOAB_TOP,1.007,212.0,2.0,0.37,0.4,4.3,0.3,5.0,9.12,1.14,0.05,10.85,9.54,54.12,0.079,0.47,5.949,0.0014,0.0023,0.0032,8.57,34.5,,13.0,68.7,16.2,15.2,38.24742,-109.3883,,,,0,1.3839621547829747e-12,1.933636443680745e-11,0.00024513270406589533,6.342884500623612e-14,1.0,4.473059792184747e-12,1.3196549936365766e-10
