,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7,Class
C33 H40 O15,0.5067447440547977,2.5669726331038952e-06,1.8492174467358817e-06,0.5977070010625656,2.5105070760420363e-06,0.4382781841234768,4.282405132853128e-06,lignin
C33 H44 O14,0.5631538083973405,2.5669726331038952e-06,1.8492174467358817e-06,0.6001352741069845,2.5105070760420363e-06,0.4552838217953874,4.282405132853128e-06,lignin
C29 H42 O14,0.5699443318689922,2.5669726331038952e-06,1.8492174467358817e-06,0.5955670133802816,2.5105070760420363e-06,0.4350190820947444,4.282405132853128e-06,lignin
C30 H44 O14,0.574956615337302,2.5669726331038952e-06,1.8492174467358817e-06,0.5943512702323325,2.5105070760420363e-06,0.434988000209153,4.282405132853128e-06,lignin
C33 H40 O17,0.3367050226457316,2.5669726331038952e-06,1.8492174467358817e-06,0.6498113859184584,2.5105070760420363e-06,0.5933751819563728,0.1249525409552615,lignin
C30 H28 O13,0.3749357872781296,2.5669726331038952e-06,1.8492174467358817e-06,0.6485268413858928,2.5105070760420363e-06,0.6048099373881922,0.1269908950409293,lignin
C33 H38 O16,0.4739135648598456,2.5669726331038952e-06,1.8492174467358817e-06,0.612321171214287,2.5105070760420363e-06,0.554073073201167,0.1412664898134133,lignin
C20 H20 O6,0.5240767322445185,2.5669726331038952e-06,1.8492174467358817e-06,0.6095193293331754,2.5105070760420363e-06,0.5814392181252924,4.282405132853128e-06,lignin
C34 H44 O16,0.3743330249562192,2.5669726331038952e-06,1.8492174467358817e-06,0.599060233570872,2.5105070760420363e-06,0.5319081024030664,4.282405132853128e-06,lignin
C34 H44 O15,0.4227418998791099,2.5669726331038952e-06,1.8492174467358817e-06,0.5979976302081325,2.5105070760420363e-06,0.5301421003516619,4.282405132853128e-06,lignin
C31 H34 O13,0.44133428499303,0.0098658644942153,1.8492174467358817e-06,0.6088311642751759,2.5105070760420363e-06,0.4856869476143405,4.282405132853128e-06,lignin
C30 H44 O15,0.3840480744195962,2.5669726331038952e-06,1.8492174467358817e-06,0.573021026459198,2.5105070760420363e-06,0.4165868742340628,4.282405132853128e-06,lignin
C22 H26 O6,0.3713569352260414,2.5669726331038952e-06,1.8492174467358817e-06,0.671545516501067,2.5105070760420363e-06,0.4648876566555621,0.0113119503484992,lignin
C25 H24 O9,0.4129576186132537,2.5669726331038952e-06,1.8492174467358817e-06,0.4682234000616037,2.5105070760420363e-06,0.5013947866218159,4.282405132853128e-06,lignin
C19 H16 O6,0.3467586012186958,2.5669726331038952e-06,1.8492174467358817e-06,0.4699529610225791,2.5105070760420363e-06,0.5662006220327325,0.0812204306916361,lignin
C13 H12 O4,0.6502175715176224,2.5669726331038952e-06,1.8492174467358817e-06,0.4613529013543893,2.5105070760420363e-06,0.5508202863047079,0.1785022627895875,lignin
C29 H28 O12,0.6672263129104617,2.5669726331038952e-06,1.8492174467358817e-06,0.6067419459662655,2.5105070760420363e-06,0.294008207696852,0.1218333414412716,lignin
C29 H40 O15,0.7035184970450894,2.5669726331038952e-06,1.8492174467358817e-06,0.5977887310590166,2.5105070760420363e-06,0.2562907553428358,0.1862391683107991,lignin
C31 H34 O14,0.6708076407422225,0.001944553135194,1.8492174467358817e-06,0.5917271778624665,2.5105070760420363e-06,0.3693300377525364,0.2587737656400135,lignin
C14 H14 O4,0.6691095709860949,2.5669726331038952e-06,1.8492174467358817e-06,0.4676292131586352,2.5105070760420363e-06,0.3755757295589044,0.1709972923575923,lignin
C30 H34 O12,0.6164168319887299,0.0262933190308815,1.8492174467358817e-06,0.567876119402308,2.5105070760420363e-06,0.4299120632124469,0.1189686141198242,lignin
C32 H36 O15,0.6200288144742543,0.148932298316412,1.8492174467358817e-06,0.5685436440449226,2.5105070760420363e-06,0.3804326120291471,0.1243490005488655,lignin
C30 H38 O12,0.408169775825803,0.2210951077552179,1.8492174467358817e-06,0.715102387801197,2.5105070760420363e-06,0.2891933741320331,0.192097419546912,lignin
C32 H40 O15,0.5069689596647776,0.2458625191636478,1.8492174467358817e-06,0.7037023007939075,2.5105070760420363e-06,0.42620128629109,0.1875799074124571,lignin
C31 H36 O15,0.6163927944188183,0.1413273090623179,1.8492174467358817e-06,0.7461894995780434,2.5105070760420363e-06,0.3290234851193134,0.3021700891674856,lignin
