,low,medium,high
NMF1,0.1688843902934457,0.05051295408347622,0.23430147728183534
NMF2,0.238151853678486,0.3272841518555881,0.47092909275249706
NMF3,0.07165300103119862,0.21228549231598878,1.904144194183732e-11
NMF4,0.05574556828902407,0.15767743936557557,0.2516709242055188
NMF5,0.4655651867078457,0.25223996237937135,0.04309850574110731
