1.008000000000000007e+00,9.000000000000000222e-01,1.546000000000000085e+01,1.676000000000000156e+01,2.978947083185561409e-02,6.255182289716375577e-01
1.203999999999999959e+00,1.520000000000000018e+00,1.191000000000000014e+01,1.183000000000000007e+01,6.595298031386966076e-02,1.066251361968961975e+00
1.147999999999999909e+00,3.599999999999999867e-01,1.530000000000000027e+00,5.259999999999999787e+00,2.653326452329673318e-02,1.565491513317812944e-01
1.124000000000000110e+00,3.549999999999999822e+00,3.332000000000000028e+01,3.503999999999999915e+01,3.862016194970278177e-02,1.789769472931694305e-01
1.048000000000000043e+00,7.000000000000000666e-02,6.500000000000000222e-01,8.399999999999999689e-01,1.661554755717738197e-02,8.493357493671611913e-02
1.050999999999999934e+00,9.100000000000000311e-01,8.589999999999999858e+00,7.469999999999999751e+00,3.059972196595106206e-02,9.201847075279702415e-02
1.205000000000000071e+00,3.499999999999999778e-01,4.740000000000000213e+00,1.538000000000000078e+01,3.462845662532033908e-02,3.789426986134373232e-01
1.292000000000000037e+00,3.319999999999999840e+00,1.375999999999999979e+01,1.264000000000000057e+01,7.188200730612535894e-02,5.485122563410355090e-01
1.187999999999999945e+00,7.000000000000000666e-02,8.100000000000000533e-01,1.635999999999999943e+01,2.897770520877799780e-02,2.187979981117375294e-01
1.032000000000000028e+00,1.260000000000000009e+00,5.889999999999999680e+00,6.309999999999999609e+00,3.019478535675124142e-02,1.149444157125846661e-01
1.459999999999999964e+00,2.000000000000000111e-01,1.340000000000000080e+00,1.971999999999999886e+01,4.375512696867948914e-02,5.027001753105626580e-01
1.308999999999999941e+00,1.600000000000000033e-01,8.000000000000000444e-01,2.507999999999999829e+01,4.178731897175176624e-02,3.725438007590703426e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.399999999999999911e-01,1.000000000000000000e+00,1.059999999999999964e+01,4.020662757471112070e-02,4.114513421379374369e-01
1.233999999999999986e+00,3.200000000000000178e+00,1.917999999999999972e+01,5.339000000000000057e+01,5.994188806195468316e-02,4.286206726719389293e-01
1.135000000000000009e+00,4.839999999999999858e+00,1.662000000000000099e+01,1.855000000000000071e+01,1.192558892779366914e-01,5.984622004741504409e-01
0.000000000000000000e+00,6.400000000000000133e-01,4.410000000000000142e+00,4.870000000000000107e+00,5.537833137500011021e-02,3.541084391474008664e-01
