1.008000000000000007e+00,9.000000000000000222e-01,1.546000000000000085e+01,1.676000000000000156e+01,2.978947083185561409e-02,6.255182289716375577e-01,2.998022926814562973e-07,6.136928532607459630e+00,5.470344352820139200e+00,1.791487653275437756e-08,5.630592378526208641e+00
1.203999999999999959e+00,1.520000000000000018e+00,1.191000000000000014e+01,1.183000000000000007e+01,6.595298031386966076e-02,1.066251361968961975e+00,3.171903671423757821e-06,4.764368334506099423e+00,2.438383135659916637e-07,7.612959847301556948e+00,3.067218232731980798e+00
1.147999999999999909e+00,3.599999999999999867e-01,1.530000000000000027e+00,5.259999999999999787e+00,2.653326452329673318e-02,1.565491513317812944e-01,0.000000000000000000e+00,6.384852644552072006e-10,1.272315586220348364e-13,1.698641227676345114e-13,2.397865968558192229e+00
1.124000000000000110e+00,3.549999999999999822e+00,3.332000000000000028e+01,3.503999999999999915e+01,3.862016194970278177e-02,1.789769472931694305e-01,4.796550421945409148e+00,6.445954534986277906e+00,3.829449395316308551e-08,3.215779196566005847e-07,5.467046366585877060e+00
1.048000000000000043e+00,7.000000000000000666e-02,6.500000000000000222e-01,8.399999999999999689e-01,1.661554755717738197e-02,8.493357493671611913e-02,1.156432620353011309e+00,1.447959461115211344e+00,2.427830884615011690e-08,2.434904716471185004e+00,4.199519742713261117e+00
1.050999999999999934e+00,9.100000000000000311e-01,8.589999999999999858e+00,7.469999999999999751e+00,3.059972196595106206e-02,9.201847075279702415e-02,5.773159728050797444e-15,5.098965693986944200e-11,1.021405182655138811e-14,2.613576022235927177e-11,3.784185645817712551e+00
1.205000000000000071e+00,3.499999999999999778e-01,4.740000000000000213e+00,1.538000000000000078e+01,3.462845662532033908e-02,3.789426986134373232e-01,3.471558011324198449e-07,7.836367107699083025e-10,7.045040104363960619e-10,5.435503587996326775e-09,6.098073733535471774e+00
1.292000000000000037e+00,3.319999999999999840e+00,1.375999999999999979e+01,1.264000000000000057e+01,7.188200730612535894e-02,5.485122563410355090e-01,6.730413975892814982e+00,6.735359783718387838e+00,2.704511067385073852e-08,4.075151059522007735e+00,1.682920417778489203e-06
1.187999999999999945e+00,7.000000000000000666e-02,8.100000000000000533e-01,1.635999999999999943e+01,2.897770520877799780e-02,2.187979981117375294e-01,1.151398531410385173e-09,5.462430507769534773e-11,1.140065819520582049e-11,1.925279935292084468e-10,5.662960162244456974e+00
1.032000000000000028e+00,1.260000000000000009e+00,5.889999999999999680e+00,6.309999999999999609e+00,3.019478535675124142e-02,1.149444157125846661e-01,4.268734401949545010e+00,6.844460905446867471e+00,4.946556464218184824e-08,6.469995425065091510e+00,2.966322815094801335e+00
1.459999999999999964e+00,2.000000000000000111e-01,1.340000000000000080e+00,1.971999999999999886e+01,4.375512696867948914e-02,5.027001753105626580e-01,7.881672958990251042e-08,1.972420004908481740e-10,6.729061752230433761e-12,1.272613125910051833e-10,5.973808680034379925e+00
