Sample,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,B.glucosidase_ug_pNP_per_g_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,Lat,Long,Elev.m,Soil.Temperature.C,VolWaterContent.m3.m3,Kmeans,NMF1,NMF2,NMF3,NMF4,NMF5
JORN_BTM,1.051,224.0,2.0,0.34,0.1,1.7,0.4,19.0,7.07,0.91,0.04,8.59,7.47,13.3,0.073,0.236,3.233,0.0013,0.0015,0.0007,7.8,6.6,,8.9,78.9,6.1,15.1,32.59092,-106.84286,,,,0,1.3493633652895655e-16,1.1858132350332376e-12,2.3605653719867896e-16,6.078098490860489e-13,1.0
KONA_BTM,1.234,294.0,10.0,0.37,0.9,17.6,2.6,65.0,15.03,3.2,0.2,19.18,53.39,159.07,0.148,1.683,11.372,0.0137,0.0015,0.0046,5.43,13.5,,31.3,16.9,40.0,43.1,39.11012,-96.61216,358.0,26.6,0.297,0,4.869863838341768e-16,1.0823400033724831e-11,3.5269928959068473e-15,3.682993461516623e-16,1.0
KONZ_BTM,1.312,500.0,12.0,0.29,0.4,9.5,1.2,37.0,14.79,4.1,0.14,20.31,34.76,202.66,0.184,2.053,11.158,0.0012,0.0022,0.0009,6.08,16.0,,74.9,18.8,36.1,45.1,39.10091,-96.56277,394.0,30.6,0.362,1,8.576589706849704e-13,1.0,1.0543995806700832e-12,9.09666599676168e-13,1.3688090034990636e-09
LENO_BTM,1.249,104.0,10.0,0.29,1.3,28.8,1.2,82.0,8.55,0.76,0.11,9.69,16.15,86.41,0.121,0.689,5.694,0.0009,0.0019,0.0055,5.22,5.0,,21.9,30.9,34.1,35.1,31.854,-88.161,,,,0,5.212518761848438e-12,1.0,1.7933343083041396e-11,1.0735805312297072e-09,9.763117583119566e-11
MLBS_BTM,1.309,43.0,5.0,0.55,1.2,0.5,0.8,153.0,0.44,0.16,0.09,0.8,25.08,55.74,0.101,1.358,13.446,0.0011,0.0016,0.0037,4.41,11.3,,22.9,76.8,2.1,21.1,37.3779,-80.52435,601.0,16.2,0.452,0,1.351535868600372e-15,1.1092732397121291e-11,8.447516051830288e-17,1.3275838030876982e-17,1.0
MOAB_BTM,1.008,216.0,2.0,0.42,0.3,3.2,0.4,7.0,7.54,1.21,0.05,9.35,7.99,24.2,0.082,0.377,4.598,0.001,0.0022,0.0022,8.54,24.9,,11.0,70.8,14.1,15.2,38.24742,-109.3883,,,,0,0.1700478386409487,0.84074918756683,1.0,2.5492711097412716e-09,0.03663997251302292
NOGP_BTM,1.202,411.0,6.0,0.5,0.4,9.6,0.9,31.0,14.88,5.16,0.06,21.15,33.7,102.04,0.287,2.615,9.111,0.0008,0.0016,0.0011,6.88,22.1,,67.3,28.8,40.1,31.2,46.770404,-100.913635,573.0,33.8,0.093,1,9.484579702191198e-13,1.258967399693321e-10,1.426847925961508e-14,1.4831068111002446e-15,1.0
NWBA_BTM,1.258,78.0,5.0,0.21,4.1,10.4,2.2,51.0,6.83,1.53,0.1,8.66,8.84,121.3,0.089,1.103,12.393,0.0014,0.0008,0.0084,7.12,39.26,23.09,45.82,58.1,23.94,17.96,38.993891,-76.977789,44.0,13.0,0.3155,1,1.033574335451762e-09,1.2864941082468044e-09,4.06821426216653e-11,1.0,0.04502708688565161
NWBB_BTM,1.177,36.0,8.0,0.05,0.3,8.3,0.4,19.0,0.78,0.33,0.06,1.26,4.63,25.55,0.052,0.519,9.981,0.0004,0.0004,0.0467,5.92,4.51,6.15,6.77,72.02,9.99,17.99,38.994073,-76.977954,44.0,17.7,0.2645,0,2.911826391367246e-16,1.7578065561621306e-12,3.401484073846256e-16,3.3589120746140483e-16,1.0
NWBC_BTM,1.241,121.0,23.0,0.14,1.0,1.8,0.7,36.0,1.17,1.18,0.06,2.72,12.3,31.95,0.069,0.747,10.826,0.0004,0.0004,0.003,5.43,,5.09,8.47,48.07,17.97,33.95,38.99425,-76.978175,44.0,16.7,0.3055,0,1.0,3.073429330112544e-10,1.4568136625522594e-10,9.76656032283889e-10,2.0843412080176334e-10
OAES_BTM,1.159,181.0,4.0,0.77,0.3,0.8,0.2,2.0,17.55,3.22,0.11,21.34,17.78,251.59,0.148,1.57,10.608,0.0007,0.0011,0.0008,8.19,4.4,,20.2,23.3,41.9,34.9,35.410599,-99.058779,,,,0,1.3417144189133306e-10,2.770045478366504e-10,1.0,3.886295012382463e-10,1.1820357392146956e-10
OCTB_BTM,1.095,180.0,2.0,0.38,0.2,5.6,1.4,11.0,10.95,5.54,0.3,17.25,19.27,36.75,0.065,0.386,5.938,0.0033,0.0,0.0281,6.79,9.5,1.39,26.4,32.05,49.96,17.99,43.3055054,-116.2432178,963.0,21.6,0.101,0,1.1179552584608993e-11,8.747823359548343e-11,1.4039730344522842e-13,7.860121579593646e-14,1.0
OCTU_BTM,1.085,233.0,1.0,0.32,0.4,10.4,1.7,22.0,9.01,4.53,0.22,14.36,21.39,38.85,0.089,0.542,6.09,0.001,0.0003,0.0532,6.3,87.49,8.18,15.54,28.14,55.89,15.97,43.3055281,-116.2429905,963.0,21.0,0.104,0,0.774758695343218,0.5382689765911649,1.0,2.0816971928279027e-09,0.41734300914459815
OKPF_BTM,,19.0,11.0,0.23,0.5,0.7,0.3,153.0,0.64,0.24,0.07,1.0,10.6,34.27,0.097,1.579,16.278,0.266666667,0.566666667,0.67,4.56,51.37,19.16,13.78,72.0,18.0,10.0,41.551919,-70.635356,1.0,6.5,0.2175,0,3.0595827201839356e-13,7.949904524613419e-12,8.958199328282618e-15,7.539732100374615e-15,1.0
ONAQ_BTM,1.067,476.0,0.01,0.87,0.3,1.7,0.3,3.0,15.81,1.68,0.15,18.86,9.77,339.79,0.056,1.999,35.696,0.0003,0.0009,0.0014,8.87,3.4,,8.8,35.3,41.8,23.0,40.17647,-112.4546,1627.0,37.1,0.05,0,7.586565434924112e-13,9.677522181520146e-14,1.3444038905318466e-14,3.363677588465565e-13,1.0
ORNL_BTM,1.188,69.0,14.0,0.15,0.3,30.9,0.2,14.0,0.48,0.07,0.08,0.81,16.36,65.1,0.069,0.655,9.493,0.0004,0.0015,0.0017,4.91,7.5,,22.1,41.3,33.8,24.9,35.96337,-84.28182,310.0,23.2,0.382,0,4.011843241779671e-12,1.903283355353521e-13,3.972365709984617e-14,6.708293630955709e-13,1.0
OSBS_BTM,1.056,39.0,3.0,0.16,0.2,0.5,0.1,39.0,0.35,0.09,0.06,0.6,0.96,33.35,0.054,0.297,5.5,0.0005,0.0009,0.0015,5.09,1.7,,7.3,92.2,1.0,6.9,29.691389,-81.988611,40.0,26.0,0.097,0,2.2047885909059815e-09,0.1465546177770978,0.620775437560623,1.0,0.017969080541970623
PETF_BTM,,11.0,10.0,0.31,1.6,10.2,0.7,40.0,3.64,0.64,0.1,4.41,4.87,69.88,0.136,1.26,9.265,0.433333333,0.633333333,4.666666667,6.42,45.41,15.72,35.93,40.11,41.92,17.97,41.553175,-70.639839,1.0,6.6,0.419,0,2.0603771685721724e-10,0.7531121962477815,4.22466643766442e-12,2.138725385892537e-12,1.0
PHTU_BTM,1.205,68.0,3.0,0.13,1.2,0.8,0.3,26.0,4.18,0.35,0.04,4.74,15.38,16.56,0.083,1.393,16.783,0.0004,0.0007,0.008,7.08,31.01,45.37,75.4,80.05,9.97,9.97,39.982739,-75.154164,20.0,19.1,0.345,1,7.81883000631546e-10,1.7649486429814584e-12,1.586721617269744e-12,1.2242131962996453e-11,1.0
PPRH_BTM,1.204,86.0,14.0,0.58,6.7,11.1,4.3,50.0,10.04,1.52,0.13,11.91,11.83,222.0,0.164,10.648,64.927,0.0007,0.0006,0.0141,6.71,4.9,6.02,11.36,40.53,38.97,20.51,40.050291,-75.033307,31.0,16.5,0.4505,0,1.567721171956382e-09,0.057460229543459154,1.205175083024265e-10,1.0,0.010123293038327673
PRS1_BTM,1.144,553.0,2.0,0.35,0.6,3.4,0.6,10.0,15.3,2.68,0.1,19.5,14.62,246.17,0.229,2.311,10.092,2.366666667,0.366666667,0.0,7.71,175.65,17.02,37.82,60.09,27.94,11.97,46.251743,-119.728729,300.0,3.6,0.177,0,2.0990851427063627e-14,1.8084962531764344e-12,1.5911427892151774e-15,1.2124488181688979e-14,1.0
PRS2_BTM,1.112,360.0,5.0,0.92,1.8,7.8,0.6,15.0,11.44,2.02,0.1,14.48,12.4,72.41,0.039,0.25,6.41,2.5,0.2,0.0,8.58,19.85,4.6,7.28,54.02,35.99,10.0,46.251755,-119.728843,300.0,3.4,0.194,0,3.2269801119305503e-13,2.6166719805271795e-09,6.142316262768397e-14,5.053675157984715e-14,1.0
RMNP_BTM,1.029,111.0,2.0,0.25,0.2,1.2,0.1,77.0,2.65,0.52,0.05,3.5,5.79,41.81,0.075,0.694,9.253,0.0003,0.0008,0.0161,5.67,10.7,,14.0,65.1,21.8,13.1,40.20332,-105.480967,2585.0,31.6,0.045,0,1.6423774894031984e-11,1.0,1.5560682911394568e-12,9.824208461736553e-11,3.8706276631089926e-10
SCBI_BTM,1.188,165.0,6.0,0.18,0.5,17.2,1.7,36.0,5.11,2.6,0.06,8.19,12.34,25.78,0.104,0.489,4.702,0.0011,0.0011,0.0022,6.37,6.7,,29.4,27.1,33.8,39.1,38.8896,-78.13865,312.0,22.1,0.23,0,0.4621169870776583,0.027636232175574513,1.781107413433963e-11,2.0948156149423377e-11,1.0
SERC_BTM,1.264,125.0,28.0,0.45,1.6,8.3,0.7,158.0,1.35,0.61,0.09,2.37,11.89,135.59,0.12,1.286,10.717,0.0006,0.0016,0.0307,4.61,10.0,,28.7,45.1,27.8,27.1,38.8912,-76.56173,24.0,22.3,0.466,0,1.0,0.25356889634146673,1.301997667398782e-11,1.4116246412484357e-09,0.006532099114615294
SJER_BTM,1.013,350.0,3.0,0.32,1.0,7.2,0.2,52.0,3.81,0.58,0.06,5.35,6.58,107.04,0.129,0.998,7.736,0.001,0.0012,0.014,6.61,92.1,,28.4,65.1,23.9,11.0,37.111218,-119.736475,383.0,31.8,0.027,0,1.8305985924614367e-19,3.0110070844928504e-12,1.805928731045622e-17,1.9277297830716227e-17,1.0
SOAP_BTM,1.101,245.0,2.0,0.18,0.01,2.6,0.1,25.0,1.81,0.25,0.08,2.77,10.74,80.29,0.101,0.935,9.257,0.0003,0.0018,0.0136,6.5,11.7,,9.9,65.1,21.9,13.1,37.033662,-119.263687,1169.0,25.7,0.042,0,2.402749769588217e-13,1.857354895303222e-11,1.120375655128869e-16,3.6974748484083504e-18,1.0
SRER_BTM,1.008,133.0,6.0,0.49,0.3,2.0,4.0,2.0,14.14,0.9,0.08,15.46,16.76,451.44,0.071,3.222,45.38,,,,8.68,7.8,,15.6,65.1,18.0,17.0,31.9114,-110.8359,,,,0,6.494423173956845e-10,1.0,0.51240550983142,3.8807832946817523e-11,0.6018390917361651
SRR1_BTM,1.032,205.0,8.0,0.25,0.3,6.1,0.6,21.0,3.95,1.26,0.15,5.89,6.31,87.48,0.072,0.303,4.208,0.0008,0.0012,0.0038,6.89,4.6,,18.4,65.0,14.0,21.0,31.799945,-110.87298,1160.0,37.8,0.025,0,0.07511319759537656,1.0,5.2753866605161014e-11,0.6873236398355553,0.019644899073329246
TALL_BTM,1.148,121.0,47.0,0.15,0.1,0.8,0.2,15.0,0.74,0.36,0.12,1.53,5.26,94.59,0.063,0.434,6.889,,,,5.69,7.2,,17.4,53.0,18.0,29.1,32.950693,-87.392825,,,,0,5.241195969727712e-21,6.385059574048981e-11,1.2716026482185136e-14,1.697828323011926e-14,1.0
TEAK_BTM,1.181,76.0,5.0,0.16,0.01,3.5,0.1,16.0,0.64,0.2,0.08,1.11,8.01,110.16,0.148,3.206,21.662,0.0008,0.0018,0.0034,7.25,10.6,,13.8,72.9,20.2,7.0,37.00583,-119.00602,,,,0,6.31331245118015e-13,1.4212461387031583e-12,1.1474640687595922e-14,4.375097869327787e-14,1.0
UKFS_BTM,1.313,194.0,16.0,0.36,0.7,10.4,1.3,91.0,10.58,3.3,0.32,14.7,37.74,169.94,0.184,2.126,11.554,0.0011,0.0028,0.0018,5.54,4.0,,27.3,16.8,42.2,41.1,39.0407,-95.19161,274.0,25.9,0.335,0,0.8911035026036045,0.10941451172441918,4.075487522047662e-11,7.06719027631873e-11,1.0
UT12_BTM,1.441,332.0,19.0,0.88,0.5,13.9,2.4,241.0,25.76,6.17,0.29,33.07,55.36,243.14,0.074,4.163,56.257,0.0006,0.0032,0.0013,5.87,34.6,,156.9,32.8,8.2,59.0,40.84693464,-109.7125711,2473.0,32.1,0.423,2,3.664624742994338e-10,4.367078116396929e-11,4.130122195009163e-11,1.0,7.778470796295353e-12
UT19_BTM,1.142,,,,,,,,,,,,,,,,,0.0007,0.0023,0.0015,7.63,50.5,,179.3,24.9,38.1,37.0,40.70183709,-109.5818412,2610.0,19.5,0.111,2,3.992625579910092e-11,1.0,7.39452224129301e-12,2.450767841933968e-11,0.18303607032187474
UT23_BTM,1.11,194.0,6.0,0.41,0.3,8.1,0.4,50.0,14.43,1.87,0.05,16.85,21.44,36.97,0.225,2.123,9.436,0.0007,0.0021,0.002,7.04,65.0,,36.0,47.1,28.0,25.0,40.68529298,-109.4999502,2502.0,26.8,0.108,0,6.849784107583225e-10,1.0,0.3505035240878199,0.642323868103907,0.09105124415872864
UT24_BTM,1.124,259.0,4.0,0.23,0.5,18.1,0.5,20.0,29.03,3.55,0.08,33.32,35.04,17.83,0.093,0.51,5.484,0.001,0.002,0.0013,6.07,26.2,,36.2,55.2,11.9,33.0,40.68204,-109.647218,2746.0,25.8,0.147,0,0.19088036729676555,1.0,6.086723869797428e-11,5.111325610441286e-10,0.3747288381725228
UT32_BTM,1.029,,,,,,,,,,,,,,,,,0.0007,0.0013,0.0017,6.94,23.2,,22.4,69.1,16.1,14.9,40.6195637,-109.61135,2362.0,39.0,0.082,0,2.0208895096227157e-12,1.0,1.2418654068621601e-12,1.0133020221734583e-12,0.2634271612238145
WLLO_BTM,1.292,47.0,6.0,0.24,20.6,25.6,5.8,34.0,10.26,3.32,0.06,13.76,12.64,173.89,0.18,2.536,14.089,0.0005,0.0038,0.0144,7.35,55.6,62.03,131.62,54.04,25.98,19.98,39.290382,-76.744543,139.0,12.8,0.388,2,0.9950605337283822,1.0,3.217180990666119e-11,0.06882725267309986,2.001938215319497e-09
WLUP_BTM,1.353,137.0,13.0,0.63,24.1,28.5,9.5,88.0,9.94,3.52,2.71,16.52,13.46,157.38,0.131,1.348,10.29,0.0016,0.0007,0.0151,7.51,25.52,24.65,42.6,30.08,43.18,26.73,39.290308,-76.74376,139.0,13.9,0.422,1,0.6457183057082475,1.0,0.0085855239557867,0.015625718149612333,9.001439821905184e-07
WSU1_BTM,1.299,31.0,6.0,0.1,0.4,1.2,1.5,21.0,1.13,0.19,0.03,1.43,13.6,,0.081,1.611,19.889,0.0012,0.0018,0.0002,6.34,47.27757023,10.70951415,19.98723514,75.7,16.2,8.1,44.6464,-121.7101,,,,0,1.0,8.061398809594063e-11,1.38204689665e-12,3.4832584841754446e-11,0.6482448742848752
WSU2_BTM,1.294,48.0,6.0,0.07,0.2,2.0,1.0,24.0,1.95,0.5,0.06,2.63,15.99,,0.097,2.204,22.722,0.001,0.0016,0.0009,6.8,87.83419359,19.21228899,30.63446816,73.36,18.45,8.2,44.6542,-121.7196,,,,0,1.0,1.976116276361533e-10,1.5937916681544994e-12,8.360936582751761e-11,0.028091570129891025
WSU3_BTM,1.46,53.0,5.0,0.05,0.4,4.0,0.7,37.0,0.96,0.2,0.04,1.34,19.72,,0.106,2.182,20.585,0.001,0.0016,0.0003,6.64,115.4732212,21.43681044,32.49656481,65.99,24.94,9.07,44.6663,-121.7191,,,,0,2.0106328144773935e-10,5.031687679097729e-13,1.7165856028551415e-14,3.246463672882709e-13,1.0
WY01_BTM,,111.0,4.0,0.18,0.7,2.6,1.3,26.0,15.7,1.52,0.08,17.58,14.97,121.92,0.145,1.205,8.31,,,,7.72,7.8,,13.1,56.9,24.1,19.0,44.942634,-109.712562,2274.0,15.4,0.133,0,3.085021967280006e-10,1.0,4.953938640929848e-10,8.35879397264107e-10,0.015341350984235351
WY03_BTM,,,,,,,,,,,,,,,,,,,,,7.13,115.7,,85.1,50.9,28.0,21.2,44.016047,-109.143313,2440.0,22.6,0.241,1,8.547838217667916e-11,1.0,0.26095084752889036,1.7082343187834177e-09,0.11185994760056293
WY09_BTM,,,,,,,,,,,,,,,,,,,,,6.4,19.9,,82.6,26.7,44.2,29.2,43.583143,-109.946757,2802.0,22.5,0.3365,1,7.00573169251055e-10,0.25574953215927904,0.4441562153725486,1.0,1.7117003793340696e-09
WY10_BTM,,98.0,7.0,0.23,0.3,2.8,0.2,73.0,15.7,1.39,0.14,17.48,19.0,16.52,0.232,1.688,7.276,,,,6.59,36.2,,27.5,50.9,26.0,23.2,43.582587,-109.97175,2865.0,13.4,0.1875,0,1.6878241013282446e-11,1.0,8.105072745068728e-12,2.5528783712591085e-11,0.6512597318233574
WY15_BTM,,97.0,6.0,0.28,0.3,15.5,0.7,107.0,3.64,0.98,0.08,4.95,11.96,180.9,0.115,0.95,8.261,,,,5.51,10.7,,16.6,62.9,20.0,17.1,42.581893,-108.751004,2639.0,23.0,0.2765,0,0.9707327658458095,0.036067806204896635,4.695940907393636e-11,1.343333624760072e-10,1.0
